"","country","country_code","year","population","annualized_growth_income","electricity_poverty_deprived","water_poverty_deprived","education_poverty_deprived"
"1","Indonesia","IDN",2009,238620563,14,39.8360900953412,7.79420279897749,28.3954581152648
"2","Japan","JPN",2009,128047000,9,8.09889590367675,15.8883940707892,19.6333597134799
"3","Korea, Rep.","KOR",2009,49307835,7,9.39791700802743,1.85979020781815,17.8399850986898
"4","Malaysia","MYS",2009,27735040,4,1.93225804716349,1.63266460411251,19.151184335351
"5","Mongolia","MNG",2009,2673796,1,29.7359288390726,35.607380932197,19.8080665618181
"6","Philippines","PHL",2009,92414158,10,7.10597552359104,7.27802759967744,17.9198107309639
"7","Thailand","THA",2009,66866839,5,38.1418822985142,36.7754916008562,15.0300947297364
"8","Vietnam","VNM",2009,87092252,3,15.3047776874155,22.6964580640197,38.8626209273934
"9","China","CHN",2009,1331260000,12,11.1846756841987,31.3862377777696,18.9580332487822
"10","India","IND",2009,1217726215,13,37.7300354652107,0.813321834430099,10.5232647527009
"11","Iraq","IRQ",2009,28973162,11,25.7065785862505,6.14128078334033,7.3377092462033
"12","Pakistan","PAK",2009,175525609,2,5.65429400652647,28.4760360047221,20.2367805037647
"13","East Asia & Pacific","EAS",2009,2192059415,8,18.7727806903422,10.4551560338587,9.13542609661818
